PLACEID,PLACE,EVENT START DATE,TARGET(2018_month),MONTH,EVENT END DATE
24,Southern Manitoba,7/7/2000 0:00,0,7,14/07/2000 12:00:00 AM
75,Vanguard SK,3/7/2000 0:00,1,7,3/7/2000 0:00
76,Maritime Provinces,23/09/1999 12:00:00 AM,0,9,23/09/1999 12:00:00 AM
67,Prince Edward Island,7/9/1999 0:00,1,9,7/9/1999 0:00
68,Clearwater AB,4/7/1999 0:00,1,7,5/7/1999 0:00
71,British Columbia,16/06/1999 12:00:00 AM,1,6,25/06/1999 12:00:00 AM
77,White Rock BC,8/6/1999 0:00,1,6,8/6/1999 0:00
78,Melita MB,1/4/1999 0:00,1,4,1/4/1999 0:00
79,Southeastern Saskatchewan,1/4/1999 0:00,0,6,30/06/1999 12:00:00 AM
71,British Columbia,1/3/1999 0:00,1,7,30/07/1999 12:00:00 AM
80,Eastern Ontario and Quebec,28/03/1998 12:00:00 AM,1,4,15/04/1998 12:00:00 AM
40,Saint John River NB,9/3/1998 0:00,1,3,10/3/1998 0:00
81,Lesser Slave Lake area AB,17/06/1997 12:00:00 AM,0,6,20/06/1997 12:00:00 AM
71,Southern British Columbia,1/5/1997 0:00,1,5,1/5/1997 0:00
82,"Assiniboine, Red and Winnipeg Rivers MB",22/04/1997 12:00:00 AM,0,5,14/05/1997 12:00:00 AM
83,Peace River AB,19/04/1997 12:00:00 AM,1,4,23/04/1997 12:00:00 AM
84,South-Central Saskatchewan,30/03/1997 12:00:00 AM,1,4,3/4/1997 0:00
85,Durham ON,9/1/1997 0:00,1,1,9/1/1997 0:00
86,Nechako River BC,29/11/1996 12:00:00 AM,1,11,29/11/1996 12:00:00 AM
87,Montreal and Mauricie Region QC,8/11/1996 0:00,0,11,9/11/1996 0:00
88,Ottawa ON,8/8/1996 0:00,1,8,8/8/1996 0:00
89,Saguenay River Valley QC,19/07/1996 12:00:00 AM,1,7,19/07/1996 12:00:00 AM
90,Atikokan ON,5/7/1996 0:00,1,7,6/7/1996 0:00
81,Lesser Slave Lake area AB,17/06/1996 12:00:00 AM,0,6,21/06/1996 12:00:00 AM
91,Timmins and Dufferin County ON,17/05/1996 12:00:00 AM,1,5,19/05/1996 12:00:00 AM
92,"Red River, Souris River, Assiniboine River and Pembina River MB",18/04/1996 12:00:00 AM,0,5,8/5/1996 0:00
93,Flat Bay NL,17/02/1996 12:00:00 AM,1,2,19/02/1996 12:00:00 AM
94,Sunny Valley AB,1/1/1996 0:00,1,1,1/1/1996 0:00
71,Southwestern British Columbia,27/11/1995 12:00:00 AM,0,11,29/11/1995 12:00:00 AM
15,Southern Alberta,6/6/1995 0:00,1,6,9/6/1995 0:00
71,Southeastern British Columbia,5/6/1995 0:00,0,6,9/6/1995 0:00
95,"East Kooteney (Elk River-Watershed) Region and the municipalities of Sparwood, Fernie and surrounding areas BC",1/6/1995 0:00,1,6,1/6/1995 0:00
96,Northeastern Saskatchewan,1/4/1995 0:00,1,4,1/4/1995 0:00
97,Western MB,1/4/1995 0:00,0,4,1/4/1995 0:00
98,Quebec,1/1/1995 0:00,1,1,1/1/1995 0:00
99,Poplar Bay AB,1/1/1995 0:00,0,1,1/1/1995 0:00
100,Plaster Rock NB and Lower St. Lawrence Region QC,16/04/1994 12:00:00 AM,1,4,26/04/1994 12:00:00 AM
101,Southern ON,16/01/1994 12:00:00 AM,1,1,17/01/1994 12:00:00 AM
102,Saskatchewan,29/07/1993 12:00:00 AM,1,7,29/07/1993 12:00:00 AM
